Molecule_ID,Name,SMILES,Handedness
Mol_202,(3R)-piperidine-3-carboxamide;hydrochloride_enantiomer,Cl.NC(=O)[C@H]1CCCNC1,S
Mol_203,sodium (3R)-3-hydroxybutanoate,C[C@@H](O)CC(=O)[O-].[Na+],R
Mol_204,sodium (3R)-3-hydroxybutanoate_enantiomer,C[C@H](O)CC(=O)[O-].[Na+],S
Mol_205,(2R)-2-amino-3-chloro-N-hydroxypropanamide,N[C@@H](CCl)C(=O)NO,R
Mol_206,(2R)-2-amino-3-chloro-N-hydroxypropanamide_enantiomer,N[C@H](CCl)C(=O)NO,S
Mol_207,(R)-oxane-3-sulfinamide,N[S@](=O)C1CCCOC1,S
Mol_208,(R)-oxane-3-sulfinamide_enantiomer,N[S@@](=O)C1CCCOC1,R
Mol_209,N-methyl-2-[(3R)-oxan-3-yl]ethanimine,CN=CC[C@H]1CCCOC1,R
Mol_210,N-methyl-2-[(3R)-oxan-3-yl]ethanimine_enantiomer,CN=CC[C@@H]1CCCOC1,S
Mol_211,(2R)-2-amino-3-phosphonopropanoic acid,N[C@@H](CP(=O)(O)O)C(=O)O,R
Mol_212,(2R)-2-amino-3-phosphonopropanoic acid_enantiomer,N[C@H](CP(=O)(O)O)C(=O)O,S
Mol_213,(R)-3-methylbenzenesulfinamide,Cc1cccc([S@](N)=O)c1,S
Mol_214,(R)-3-methylbenzenesulfinamide_enantiomer,Cc1cccc([S@@](N)=O)c1,R
Mol_215,2-[(2R)-1-methylpiperidin-2-yl]ethanol,CN1CCCC[C@@H]1CCO,R
Mol_216,2-[(2R)-1-methylpiperidin-2-yl]ethanol_enantiomer,CN1CCCC[C@H]1CCO,S
Mol_217,(2R)-2-(trimethylazaniumyl)propanoate,C[C@H](C(=O)[O-])[N+](C)(C)C,R
Mol_218,(2R)-2-(trimethylazaniumyl)propanoate_enantiomer,C[C@@H](C(=O)[O-])[N+](C)(C)C,S
Mol_219,2-[(3R)-3-fluoropiperidin-1-yl]ethanol,OCCN1CCC[C@@H](F)C1,R
Mol_220,2-[(3R)-3-fluoropiperidin-1-yl]ethanol_enantiomer,OCCN1CCC[C@H](F)C1,S
Mol_221,(2R)-1-cyclopropylpropan-2-amine;hydrochloride,C[C@@H](N)CC1CC1.Cl,R
Mol_222,(2R)-1-cyclopropylpropan-2-amine;hydrochloride_enantiomer,C[C@H](N)CC1CC1.Cl,S
Mol_223,(2S)-2-methylbutanoic acid,CC[C@H](C)C(=O)O,S
Mol_224,(2S)-2-methylbutanoic acid_enantiomer,CC[C@@H](C)C(=O)O,R
Mol_225,(2R)-5-methylhexan-2-amine,CC(C)CC[C@@H](C)N,R
Mol_226,(2R)-5-methylhexan-2-amine_enantiomer,CC(C)CC[C@H](C)N,S
Mol_227,"(5R)-5-ethenyl-1,3-oxazolidine-2-thione",C=C[C@@H]1CNC(=S)O1,R
Mol_228,"(5R)-5-ethenyl-1,3-oxazolidine-2-thione_enantiomer",C=C[C@H]1CNC(=S)O1,S
Mol_229,(2R)-2-(1-bicyclo[1.1.1]pentanyl)propanoic acid,C[C@@H](C(=O)O)C12CC(C1)C2,R
Mol_230,(2R)-2-(1-bicyclo[1.1.1]pentanyl)propanoic acid_enantiomer,C[C@H](C(=O)O)C12CC(C1)C2,S
Mol_231,"(3R)-3,7-dimethylocta-1,6-diene",C=C[C@H](C)CCC=C(C)C,R
Mol_232,"(3R)-3,7-dimethylocta-1,6-diene_enantiomer",C=C[C@@H](C)CCC=C(C)C,S
Mol_233,(3R)-3-methylpent-4-enoic acid,C=C[C@H](C)CC(=O)O,R
Mol_234,(3R)-3-methylpent-4-enoic acid_enantiomer,C=C[C@@H](C)CC(=O)O,S
Mol_235,(2R)-2-methyl-1-nitrosopyrrolidine,C[C@@H]1CCCN1N=O,R
Mol_236,(2R)-2-methyl-1-nitrosopyrrolidine_enantiomer,C[C@H]1CCCN1N=O,S
Mol_237,"(1R,3Z)-3-hydroxyiminocyclopentane-1-carboxylic acid",O=C(O)[C@@H]1CC/C(=N/O)C1,R
Mol_238,"(1R,3Z)-3-hydroxyiminocyclopentane-1-carboxylic acid_enantiomer",O=C(O)[C@H]1CC/C(=N/O)C1,S
Mol_239,(2R)-1-(2-aminoethylamino)propan-2-ol,C[C@@H](O)CNCCN,R
